ID,name,surname,birthNumber,active,Branch
159,Shay,Townend,035-630-523,FALSE,1936
160,Tyson,Thomas,013-562-213,TRUE,8843
161,Sebastian,Collingwood,338-165-004,TRUE,1186
162,Sarah,Murphy,874-227-875,TRUE,623
163,Jayden,Varley,784-651-365,TRUE,3941
164,Elijah,Smith,333-547-223,TRUE,3317
165,Payton,Woods,627-746-706,FALSE,2046
166,Joseph,Harris,386-261-103,FALSE,4143
167,Matt,James,382-456-624,FALSE,4415
168,Samara,Maxwell,530-536-744,FALSE,1184
169,Alison,Phillips,582-273-703,TRUE,9976
170,Macy,Ebbs,806-778-485,TRUE,3703
171,Joseph,Crawford,617-857-481,FALSE,9494
172,Sebastian,Pratt,485-142-477,FALSE,9368
173,Renee,Ross,546-812-455,FALSE,5012
174,Jack,Cann,865-627-543,TRUE,6451
175,Jacob,Rothwell,622-841-381,TRUE,7506
176,Rihanna,Aldridge,566-824-613,TRUE,691
177,Leah,Poole,881-183-575,TRUE,801
178,Johnathan,Reynolds,002-663-451,TRUE,3399
179,Kaylee,Ellis,751-248-601,FALSE,2885
180,Regina,Mitchell,657-043-113,TRUE,704
181,Selena,Raven,857-603-555,FALSE,1610
182,John,Baldwin,280-753-665,FALSE,3620
183,Natalie,Gray,231-482-640,TRUE,7899
184,Rufus,Gordon,433-151-660,TRUE,6323
185,Rufus,Cox,482-260-450,FALSE,5535
186,Margot,Glass,452-277-318,TRUE,6819
187,Rufus,Coates,535-101-876,TRUE,3609
188,Bryce,Brown,186-318-045,FALSE,4232
189,Jane,Lynn,117-467-643,FALSE,2299
190,Liam,Gilbert,211-670-435,TRUE,3010
191,Adina,Carter,446-820-368,TRUE,3895
192,Nicholas,Robe,308-776-485,TRUE,5665
193,Eduardo,Cann,438-463-752,FALSE,4669
194,Domenic,Hunt,844-221-375,FALSE,3417
195,Harvey,Vaughan,611-843-085,FALSE,1641
196,Isabel,Michael,543-061-306,TRUE,6616
197,Katelyn,Weston,143-784-625,TRUE,773
198,Mona,May,337-357-714,FALSE,9407
199,Adeline,Kennedy,234-816-572,TRUE,5445
200,Sofia,Mitchell,167-878-577,FALSE,6568
201,Lucas,Shepherd,533-558-211,TRUE,9408
202,Johnathan,Emerson,578-072-555,FALSE,8708
203,Benny,Flack,487-322-471,TRUE,217
204,Mary,Needham,537-038-222,TRUE,791
205,Enoch,Whittle,777-820-043,FALSE,1695
206,Enoch,Wren,415-454-486,TRUE,586
207,Ryan,Healy,426-108-584,TRUE,3945
208,Maxwell,Jacobs,353-184-223,TRUE,2147
209,Susan,Brennan,323-158-335,FALSE,1828
210,Parker,Stewart,310-035-251,FALSE,3369
211,Cassidy,Snow,224-010-274,FALSE,6733
212,Summer,Pitt,075-775-850,FALSE,6851
213,Lorraine,Baxter,046-237-536,FALSE,7867
214,Meredith,Davies,684-873-614,FALSE,9826
215,Jayden,Michael,055-211-520,FALSE,3734
216,Dorothy,Tyrrell,767-365-217,FALSE,1178
217,Doris,Hope,765-406-036,TRUE,994
218,Luke,Rowan,682-613-685,FALSE,7705
219,Ethan,Whitmore,388-164-073,TRUE,1573
220,Aiden,Collingwood,315-061-877,FALSE,4819
221,Laila,Stone,543-273-322,TRUE,1443
222,Martin,Jackson,230-305-130,TRUE,3123
223,Rowan,Mcnally,118-550-887,FALSE,6121
224,Britney,Corbett,314-011-438,FALSE,8704
225,Tyson,Rycroft,183-580-651,FALSE,7053
226,Boris,Carter,363-365-282,TRUE,6577
227,Brooklyn,Hamilton,206-251-127,FALSE,5995
228,Bristol,Neal,334-101-366,FALSE,3048
229,Martha,Underhill,114-883-667,FALSE,8835
230,Lindsay,Amstead,151-467-111,TRUE,4338
231,Marvin,Grant,755-426-668,FALSE,5669
232,Elle,Mcgee,148-455-248,TRUE,1710
233,Barry,Hastings,126-820-684,TRUE,8961
234,Freya,Hopkinson,117-153-466,FALSE,1129
235,Julius,Blackburn,784-870-225,TRUE,5662
236,Maggie,Dubois,620-637-113,TRUE,8028
237,Beatrice,Larsen,062-455-281,FALSE,5908
238,Chloe,White,001-568-275,FALSE,5379
239,Aileen,Phillips,240-478-158,FALSE,414
240,Cecilia,Allwood,357-535-007,TRUE,6784
241,Hayden,James,643-334-422,FALSE,7490
242,Mason,Hastings,446-042-475,TRUE,144
243,Zoe,Dallas,182-441-631,TRUE,5417
244,Bob,Eagle,354-178-830,TRUE,9820
245,Harvey,Olson,624-183-343,TRUE,3443
246,Mavis,Morley,685-374-427,TRUE,6496
247,Alessia,Rose,805-130-573,TRUE,7958
248,William,Jackson,616-004-342,FALSE,9125
249,Carol,Bayliss,622-831-624,FALSE,2890
250,Brad,Poulton,004-356-216,FALSE,9370
251,Julian,Yates,701-607-352,FALSE,6383
252,Tyson,Morgan,633-277-784,TRUE,3008
253,Carter,Ashwell,034-886-262,FALSE,79
254,Courtney,Newton,074-668-858,TRUE,3924
255,Chris,Norton,687-370-666,TRUE,1056
256,Monica,Villiger,712-463-446,FALSE,3074
257,Raquel,Farrell,106-136-430,TRUE,2927
258,Isabella,Knight,805-363-430,FALSE,1297
259,Tyson,Ebden,380-883-538,TRUE,4654
260,Miriam,Kennedy,470-673-503,FALSE,2800
261,Alma,Ainsworth,020-023-602,FALSE,2323
262,Barney,Warner,322-025-687,FALSE,5033
263,Bryon,Yarwood,871-040-553,TRUE,3155
264,Irene,Robertson,585-126-648,TRUE,8586
265,Denny,Walsh,262-156-633,FALSE,3131
266,Wade,Wade,246-078-160,TRUE,6292
267,Julius,Drew,653-834-617,FALSE,2815
268,Analise,Gunn,510-106-824,TRUE,4718
269,Anthony,Moreno,724-278-410,TRUE,7554
270,Nathan,Giles,347-353-713,TRUE,460
271,Leslie,Bell,461-145-086,TRUE,7919
272,Angelica,Mitchell,365-510-743,FALSE,6675
273,Lynn,Weasley,313-428-314,FALSE,302
274,Clarissa,Kent,335-601-850,FALSE,1838
275,Sydney,Pond,502-126-102,FALSE,5442
276,Barry,Johnson,617-885-655,TRUE,2935
277,Maribel,Rycroft,217-307-642,FALSE,4238
278,John,Young,254-140-483,TRUE,1289
279,Cecilia,Glynn,801-852-584,TRUE,9660
280,Noah,Dubois,545-388-542,FALSE,5893
281,Chris,Saunders,703-730-207,TRUE,3589
282,Freya,Townend,565-752-263,TRUE,6417
283,Angela,Forester,745-680-454,TRUE,7825
284,Harry,Reid,156-772-023,TRUE,2276
285,Hazel,Addison,822-301-752,TRUE,9804
286,Doris,Casey,278-111-280,FALSE,9818
287,Anabelle,Brooks,884-346-231,FALSE,4800
288,Ember,West,368-883-500,FALSE,915
289,John,Booth,614-753-771,FALSE,2935
290,Leslie,Bullock,583-155-057,TRUE,2203
291,Sofie,Sylvester,401-861-060,TRUE,6689
292,Jaylene,Higgs,826-176-066,TRUE,2406
293,Eduardo,James,612-854-687,TRUE,7296
294,Analise,Swift,074-575-705,FALSE,5537
295,Rick,Connor,208-725-813,FALSE,8234
296,Gil,Poole,255-141-856,FALSE,3262
297,Miley,Dallas,814-024-282,TRUE,7679
298,Estrella,Todd,828-570-532,FALSE,2857
299,Kaylee,Mcgregor,550-477-635,FALSE,916
300,Christine,Irving,864-005-002,FALSE,1389
301,Roger,Gray,044-680-487,TRUE,1251
302,Jenna,Reese,120-232-221,FALSE,9630
303,Jayden,Vass,642-283-447,TRUE,3429
304,Nancy,Kerr,586-005-224,FALSE,7119
305,Lynn,Pratt,371-865-373,FALSE,8131
306,Keira,Bailey,422-301-246,FALSE,5199
307,William,Kennedy,207-262-250,TRUE,2936
308,Michaela,Abbey,140-270-431,FALSE,8834
309,Ethan,Heaton,667-544-783,FALSE,445
310,Barney,Gavin,221-357-440,TRUE,1260
311,Shannon,Osmond,443-186-085,FALSE,8403
312,Rosalyn,Glynn,785-710-146,FALSE,6031
313,Hailey,Brown,161-682-108,FALSE,2889
314,Leroy,Richards,203-662-840,FALSE,1459
315,Mackenzie,James,430-620-255,FALSE,4935
316,Alex,Baker,430-750-467,TRUE,3383
317,Sabrina,Ogilvy,887-123-437,FALSE,9124
318,Barry,Russell,487-656-817,TRUE,6150
319,Doris,Hobson,768-628-671,TRUE,7421
320,Christine,Allen,332-558-555,FALSE,4751
321,Rita,Weatcroft,313-032-034,FALSE,9650
322,Kenzie,Walsh,042-240-242,FALSE,1667
323,Barry,Saunders,442-100-575,TRUE,6535
324,Henry,Gilmour,336-757-408,TRUE,6903
325,Nicholas,Rodwell,778-054-737,FALSE,29
326,Noemi,Greenwood,356-477-135,TRUE,9981
327,Rosalyn,Windsor,068-538-882,FALSE,3660
328,Jacqueline,Wren,816-585-483,FALSE,5764
329,Christine,Rothwell,406-181-554,TRUE,6177
330,Alexia,Kirby,136-177-877,FALSE,4904
331,Gabriel,Shea,080-575-103,FALSE,1097
332,Percy,Fox,684-403-374,FALSE,1397
333,Sebastian,Bloom,434-601-000,TRUE,6499
334,Rosa,Smith,780-653-001,TRUE,7446
335,Josephine,Wilkinson,251-587-361,TRUE,512
336,Cadence,Thorne,106-628-664,TRUE,129
337,Rocco,Lynn,710-331-407,TRUE,7715
338,Allison,Warden,544-513-082,TRUE,8380
339,Tyson,Parker,251-602-640,TRUE,5734
340,Erick,Wood,325-247-252,FALSE,8276
341,Daniel,Holt,374-417-857,FALSE,8544
342,David,Wood,562-527-760,TRUE,2769
343,Ronald,Norburn,311-838-777,TRUE,3590
344,Camila,Leslie,876-436-102,FALSE,5924
345,Ron,Morgan,304-302-453,FALSE,4983
346,Hannah,Osmond,825-662-128,TRUE,5792
347,Caleb,Richards,573-167-235,TRUE,3891
348,Caleb,Archer,683-412-586,FALSE,5053
349,Caleb,Thorne,846-314-755,FALSE,8569
350,John,Chadwick,550-353-175,FALSE,2759
351,Claire,Whitmore,774-788-588,FALSE,2850
352,Elijah,Garner,662-021-115,TRUE,9222
353,Florence,Pratt,128-337-836,TRUE,4946
354,Hayden,Casey,260-672-105,TRUE,2967
355,Michelle,Mould,625-175-456,FALSE,9673
356,Clint,Richards,821-061-248,TRUE,5842
357,Carter,Ainsworth,412-573-740,TRUE,2661
358,Ryan,Alldridge,522-438-133,FALSE,8948
359,Gemma,Healy,313-764-250,TRUE,6440
360,Macy,Woodcock,658-753-455,FALSE,3338
361,Domenic,Fall,068-124-008,TRUE,9592
362,Jaylene,Reyes,235-488-282,FALSE,2290
363,Luna,Kelly,401-711-354,FALSE,8639
364,Emmanuelle,Bennett,714-688-461,TRUE,3715
365,Moira,Yarlett,202-714-500,FALSE,6384
366,Percy,Reading,782-678-581,FALSE,910
367,Destiny,Myatt,404-281-718,FALSE,2156
368,Carmella,Hope,128-725-540,FALSE,8194
369,Domenic,Torres,140-087-150,TRUE,4913
370,Boris,Wooldridge,622-858-046,FALSE,18
371,Luke,Dixon,781-338-768,FALSE,5200
372,Denis,Kaur,546-063-028,FALSE,9366
373,Henry,Windsor,526-310-588,FALSE,8246
374,Andrea,Lynch,571-601-113,TRUE,4627
375,Carmella,Edley,635-858-343,TRUE,1048
376,Andrea,Watson,014-513-446,FALSE,3461
377,Charlize,Cann,887-258-643,TRUE,5331
378,Regina,Rossi,326-121-171,FALSE,80
379,Matthew,Rixon,311-814-730,FALSE,5003
380,Hank,Howard,076-580-458,TRUE,4357
381,Joy,Lunt,884-601-414,FALSE,6726
382,Russel,Ellery,722-370-020,TRUE,544
383,Ryan,Hardwick,517-472-315,TRUE,4637
384,John,Lynn,467-533-162,FALSE,6641
385,Camila,Griffiths,646-763-184,TRUE,625
386,Chuck,Lane,008-233-135,TRUE,1929
387,Bob,Strong,632-384-035,FALSE,553
388,Sydney,Harrington,404-034-563,FALSE,7280
389,Cassandra,Hunt,030-111-266,TRUE,1802
390,Leah,Penn,682-313-427,TRUE,7910
391,Madelyn,Mann,882-223-304,FALSE,7097
392,Russel,Upsdell,243-637-707,FALSE,3679
393,Carter,Moore,434-131-522,FALSE,3119
394,Lorraine,Gaynor,262-228-830,FALSE,9451
395,Tony,Stevens,167-127-328,FALSE,7020
396,Freya,Hill,174-017-274,FALSE,3559
397,Benny,Becker,385-335-050,FALSE,1341
398,Laila,Power,581-277-787,TRUE,8434
399,Gabriel,Tait,077-551-483,TRUE,3502
400,Rufus,Russell,836-000-702,TRUE,9387
401,Wade,Hill,863-576-334,FALSE,658
402,Peter,Graves,151-145-717,TRUE,1349
403,Courtney,Milner,717-741-322,FALSE,7566
404,Rosa,Irving,801-417-577,TRUE,6082
405,Tyler,Baxter,031-011-777,FALSE,393
406,Harry,Eddison,608-865-385,FALSE,2414
407,Daron,Penn,312-088-760,TRUE,729
408,Hank,Hunter,307-075-831,TRUE,7432
409,Noah,Tate,267-361-766,FALSE,603
410,Judith,Taylor,570-517-602,FALSE,909
411,Liliana,Addis,338-263-155,FALSE,3387
412,Mary,Palmer,038-532-150,FALSE,6742
413,Michael,Hamilton,013-036-776,TRUE,6712
414,Peter,Cartwright,066-862-877,TRUE,7203
415,Logan,Ward,732-325-633,FALSE,6738
416,Trisha,Oakley,074-201-141,FALSE,3975
417,Livia,Murphy,154-272-438,TRUE,4492
418,Nate,Rodwell,264-664-281,FALSE,6436
419,Juliette,Yoman,834-582-273,TRUE,2397
420,Rachael,Smith,813-038-888,FALSE,848
421,Shannon,Harris,474-830-742,TRUE,6978
422,Chelsea,Robertson,202-755-554,TRUE,3714
423,Tony,Fox,444-084-017,FALSE,7018
424,Rosalyn,Stewart,736-604-585,FALSE,9798
425,Penelope,Larkin,381-058-755,TRUE,2137
426,Kenzie,Price,332-458-376,TRUE,7952
427,Samantha,Allen,048-757-810,FALSE,9623
428,Madison,Gibbons,351-206-580,FALSE,8758
429,Percy,Porter,568-662-247,FALSE,9502
430,Julius,Walter,117-212-665,FALSE,5150
431,Sylvia,Logan,111-012-632,TRUE,7660
432,Alma,Knight,733-424-534,FALSE,3048
433,Angelina,Terry,334-001-240,TRUE,867
434,Enoch,Dwyer,383-884-864,FALSE,2756
435,Roger,York,267-560-208,FALSE,7266
436,Barry,Lynch,100-620-610,TRUE,952
437,Cameron,Connell,573-701-858,FALSE,3626
438,Russel,Morris,240-344-673,TRUE,2167
439,Boris,Dowson,231-107-014,FALSE,3128
440,Roger,Mcgregor,624-143-267,TRUE,5312
441,Esmeralda,Miller,476-106-187,TRUE,1601
442,Clarissa,Butler,732-782-317,FALSE,8767
443,Jayden,Janes,343-400-472,FALSE,2854
444,Dalia,Yang,883-760-284,TRUE,1728
445,Estrella,Dyson,720-643-753,FALSE,6275
446,Molly,Pearce,335-426-443,FALSE,3152
447,Carter,Maxwell,183-758-361,TRUE,1667
448,Harry,Walter,147-427-416,TRUE,6912
449,Eduardo,Rosenbloom,656-482-761,TRUE,9263
450,Meredith,Hamilton,587-117-855,FALSE,458
451,Rocco,Morris,745-401-801,FALSE,1471
452,Julian,Ainsworth,578-854-011,TRUE,2132
453,Peter,Tyler,488-050-563,FALSE,9653
454,Martin,Rose,158-417-482,TRUE,8617
455,Owen,Knott,178-682-015,FALSE,5651
456,Percy,Oldfield,804-147-263,FALSE,7228
457,Madison,Gavin,488-273-417,FALSE,1835
458,Joseph,Wheeler,856-458-378,TRUE,4001
459,Aurelia,Griffiths,725-736-856,FALSE,9800
460,Jacob,Barrett,660-126-317,FALSE,4533
461,Vicky,Wallace,234-554-114,FALSE,588
462,Julia,Tate,076-143-151,FALSE,6141
463,Mike,Johnson,564-845-853,TRUE,6239
464,Chester,Edmonds,618-244-176,TRUE,8808
465,Esmeralda,Wright,561-166-748,FALSE,4161
466,Bob,Morgan,806-526-006,FALSE,7253
467,Jolene,Campbell,352-811-220,TRUE,378
468,Leroy,Stone,330-761-684,FALSE,373
469,Dasha,Kelly,552-874-253,TRUE,5114
470,Ramon,Morley,412-882-342,TRUE,4708
471,Noah,Watson,321-752-784,FALSE,996
472,Barney,Plumb,801-017-736,TRUE,5978
473,Liliana,Alldridge,766-382-050,TRUE,6929
474,George,Sinclair,813-042-752,FALSE,9155
475,Alan,Woodcock,107-664-143,FALSE,6625
476,Carl,Tyler,706-706-468,FALSE,7693
477,Anabelle,Cooper,364-432-130,FALSE,8117
478,Florence,Parr,830-401-864,TRUE,1934
479,Chris,Rothwell,667-237-061,TRUE,8635
480,Tom,Harrison,883-617-476,TRUE,1107
481,Victoria,Edley,663-805-805,FALSE,1205
482,Rosa,Kent,824-780-432,TRUE,8700
483,Mya,Rogers,084-851-760,TRUE,3185
484,Dorothy,Addley,385-256-858,TRUE,826
485,Davina,Nobbs,582-470-134,TRUE,8478
486,Sofia,Riley,406-770-555,FALSE,6280
487,Anthony,Thorpe,478-162-844,FALSE,6483
488,Tiffany,Bryant,208-888-572,FALSE,4981
489,Ally,Becker,135-025-444,TRUE,7557
490,Mark,Crawley,372-013-226,FALSE,6621
491,Carol,Townend,634-280-130,TRUE,6573
492,Chad,Amstead,700-754-565,TRUE,5179
493,Camden,Wright,470-368-367,TRUE,2597
494,Brad,Hobbs,317-213-554,FALSE,8151
495,Kieth,Wilson,008-057-024,TRUE,203
496,Ron,Pond,807-080-410,FALSE,8329
497,Chadwick,Radley,150-067-377,FALSE,1410
498,Danny,Cameron,111-884-534,FALSE,5300
499,Luke,Durrant,146-050-606,TRUE,5000
500,Alice,Norton,428-060-337,FALSE,4917
501,Ethan,Mcneill,361-602-545,FALSE,9274
502,Felicity,Osman,684-468-320,FALSE,7212
503,Lillian,Kennedy,607-216-706,FALSE,3359
504,Anthony,Robinson,870-737-102,TRUE,8437
505,Lucas,Noon,062-246-234,TRUE,2223
506,Ada,Stone,386-005-428,FALSE,1513
507,Maxwell,Exton,516-368-845,TRUE,4036
508,Jacob,Rogers,250-314-453,FALSE,7037
509,Adela,Fields,283-000-140,TRUE,1846
510,Tony,Holmes,532-778-543,FALSE,310
511,Renee,Wills,663-183-026,TRUE,6513
512,Martha,Hardwick,620-143-227,FALSE,9244
513,Madelyn,Franks,257-701-452,FALSE,3613
514,Isabella,Carpenter,105-830-371,TRUE,763
515,Wade,Shepherd,721-850-551,TRUE,7110
516,Belinda,Chester,083-478-232,TRUE,3454
517,Denis,Spencer,225-013-552,FALSE,5526
518,Jessica,Walton,024-041-130,TRUE,1588
519,Cadence,Hunter,488-403-187,TRUE,4453
520,Bart,Adams,013-668-288,TRUE,3208
521,Elijah,Vallory,562-171-357,FALSE,6819
522,Abdul,Edler,018-174-820,TRUE,6070
523,Jayden,Jackson,435-580-327,FALSE,99
524,Martin,Flanders,756-146-847,TRUE,1421
525,Jules,Lyon,313-461-816,TRUE,3420
526,Harmony,Holmes,538-162-435,FALSE,1471
527,Daniel,Edwards,321-525-776,FALSE,5314
528,Nathan,Matthews,462-166-861,FALSE,2225
529,Mason,Tate,716-677-527,TRUE,5135
530,Henry,Stevens,338-820-707,TRUE,5880
531,Marjorie,Groves,787-266-876,TRUE,7569
532,Jade,Wilson,073-512-083,FALSE,2955
533,Analise,Crawley,473-036-218,FALSE,8313
534,Martin,Tindall,217-567-808,TRUE,2903
535,Crystal,Button,646-440-042,FALSE,2545
536,Boris,Quinn,360-127-820,TRUE,3854
537,Abdul,Yarwood,721-475-768,TRUE,2943
538,Tyson,Owens,452-002-734,TRUE,3667
539,Violet,Rehman,723-644-651,FALSE,2040
540,Skylar,Victor,885-485-603,TRUE,6107
541,Robyn,Foxley,784-382-506,TRUE,9842
542,Crystal,Eagle,864-378-163,TRUE,2427
543,Gabriel,Keys,316-482-556,FALSE,451
544,Enoch,Whitmore,021-122-265,TRUE,5635
545,Angelique,Mcleod,071-486-358,FALSE,78
546,Joyce,Lakey,045-273-517,FALSE,4759
547,Jayden,Jeffery,465-611-342,TRUE,8798
548,Valerie,Hood,331-176-762,TRUE,2270
549,Chadwick,Mullins,142-184-122,FALSE,3709
550,Hank,Mills,271-660-080,TRUE,9047
551,Julius,Tailor,748-104-380,FALSE,3406
